"","Measure","Attribute","Value","Category","Date"
"194","Vessels 91’ beam to under 107’ beam","Total","593","Oceangoing Transits",2019-05-01
"195","Neopanamax Vessels (107’ beam and over)","Total","248","Oceangoing Transits",2019-05-01
"196","Total:","Total","1,032","Oceangoing Transits",2019-05-01
"197","Vessels of less than 91’ beam","Daily Average","6.16","Oceangoing Transits",2019-05-01
"198","Vessels 91’ beam to under 107’ beam","Daily Average","19.13","Oceangoing Transits",2019-05-01
"199","Neopanamax Vessels (107’ beam and over)","Daily Average","8.00","Oceangoing Transits",2019-05-01
"200","Total:","Daily Average","33.29","Oceangoing Transits",2019-05-01
"201","Vessels of less than 91’ beam","Percentage","18.51","Oceangoing Transits",2019-05-01
"202","Vessels 91’ beam to under 107’ beam","Percentage","57.46","Oceangoing Transits",2019-05-01
"203","Neopanamax Vessels (107’ beam and over)","Percentage","24.03","Oceangoing Transits",2019-05-01
"204","Total:","Percentage","100","Oceangoing Transits",2019-05-01
"205","Vessels of less than 91’ beam","Total","233","Oceangoing Transits",2018-05-01
"206","Vessels 91’ beam to under 107’ beam","Total","639","Oceangoing Transits",2018-05-01
"207","Neopanamax Vessels (107’ beam and over)","Total","197","Oceangoing Transits",2018-05-01
"208","Total:","Total","1069","Oceangoing Transits",2018-05-01
"209","Vessels of less than 91’ beam","Daily Average","7.52","Oceangoing Transits",2018-05-01
"210","Vessels 91’ beam to under 107’ beam","Daily Average","20.61","Oceangoing Transits",2018-05-01
"211","Neopanamax Vessels (107’ beam and over)","Daily Average","6.35","Oceangoing Transits",2018-05-01
"212","Total:","Daily Average","34.48","Oceangoing Transits",2018-05-01
"213","Vessels of less than 91’ beam","Percentage","21.80","Oceangoing Transits",2018-05-01
"214","Vessels 91’ beam to under 107’ beam","Percentage","59.77","Oceangoing Transits",2018-05-01
"215","Neopanamax Vessels (107’ beam and over)","Percentage","18.43","Oceangoing Transits",2018-05-01
"216","Total:","Percentage","100","Oceangoing Transits",2018-05-01
"217","Vessels of less than 91´ beam","Total","186","Oceangoing Transits",2017-06-01
"218","Vessels 91´ beam to under 107’ beam","Total","546","Oceangoing Transits",2017-06-01
"219","Neopanamax Vessels (beam107’ and over)","Total","157","Oceangoing Transits",2017-06-01
"220","Total:","Total","889","Oceangoing Transits",2017-06-01
"221","Vessels of less than 91´ beam","Daily Average","6.20","Oceangoing Transits",2017-06-01
"222","Vessels 91´ beam to under 107’ beam","Daily Average","18.20","Oceangoing Transits",2017-06-01
"223","Neopanamax Vessels (beam107’ and over)","Daily Average","5.23","Oceangoing Transits",2017-06-01
"224","Total:","Daily Average","29.63","Oceangoing Transits",2017-06-01
"225","Vessels of less than 91´ beam","Percentage","20.92","Oceangoing Transits",2017-06-01
"226","Vessels 91´ beam to under 107’ beam","Percentage","61.42","Oceangoing Transits",2017-06-01
"227","Neopanamax Vessels (beam107’ and over)","Percentage","17.66","Oceangoing Transits",2017-06-01
"228","Total:","Percentage","100","Oceangoing Transits",2017-06-01
"229","Vessels of less than 91´ beam","Total","213","Oceangoing Transits",2017-07-01
"230","Vessels 91´ beam to under 107’ beam","Total","641","Oceangoing Transits",2017-07-01
"231","Neopanamax Vessels (beam107’ and over)","Total","163","Oceangoing Transits",2017-07-01
"232","Total:","Total","1017","Oceangoing Transits",2017-07-01
"233","Vessels of less than 91´ beam","Daily Average","6.87","Oceangoing Transits",2017-07-01
"234","Vessels 91´ beam to under 107’ beam","Daily Average","20.68","Oceangoing Transits",2017-07-01
"235","Neopanamax Vessels (beam107’ and over)","Daily Average","5.26","Oceangoing Transits",2017-07-01
"236","Total:","Daily Average","32.81","Oceangoing Transits",2017-07-01
"237","Vessels of less than 91´ beam","Percentage","20.94","Oceangoing Transits",2017-07-01
"238","Vessels 91´ beam to under 107’ beam","Percentage","63.03","Oceangoing Transits",2017-07-01
"239","Neopanamax Vessels (beam107’ and over)","Percentage","16.03","Oceangoing Transits",2017-07-01
"240","Total:","Percentage","100","Oceangoing Transits",2017-07-01
"241","Vessels of less than 91’ beam","Total","208","Oceangoing Transits",2018-06-01
"242","Vessels 91’ beam to under 107’ beam","Total","546","Oceangoing Transits",2018-06-01
"243","Neopanamax Vessels (107’ beam and over)","Total","201","Oceangoing Transits",2018-06-01
"244","Total:","Total","955","Oceangoing Transits",2018-06-01
"245","Vessels of less than 91’ beam","Daily Average","6.93","Oceangoing Transits",2018-06-01
"246","Vessels 91’ beam to under 107’ beam","Daily Average","18.20","Oceangoing Transits",2018-06-01
"247","Neopanamax Vessels (107’ beam and over)","Daily Average","6.70","Oceangoing Transits",2018-06-01
"248","Total:","Daily Average","31.83","Oceangoing Transits",2018-06-01
"249","Vessels of less than 91’ beam","Percentage","21.78","Oceangoing Transits",2018-06-01
"250","Vessels 91’ beam to under 107’ beam","Percentage","57.17","Oceangoing Transits",2018-06-01
"251","Neopanamax Vessels (107’ beam and over)","Percentage","21.05","Oceangoing Transits",2018-06-01
"252","Total:","Percentage","100.0","Oceangoing Transits",2018-06-01
"253","Vessels of less than 91’ beam","Total","180","Oceangoing Transits",2019-06-01
"254","Vessels 91’ beam to under 107’ beam","Total","555","Oceangoing Transits",2019-06-01
"255","Neopanamax Vessels (107’ beam and over)","Total","240","Oceangoing Transits",2019-06-01
"256","Total:","Total","975","Oceangoing Transits",2019-06-01
"257","Vessels of less than 91’ beam","Daily Average","6.00","Oceangoing Transits",2019-06-01
"258","Vessels 91’ beam to under 107’ beam","Daily Average","18.50","Oceangoing Transits",2019-06-01
"259","Neopanamax Vessels (107’ beam and over)","Daily Average","8.00","Oceangoing Transits",2019-06-01
"260","Total:","Daily Average","32.50","Oceangoing Transits",2019-06-01
"261","Vessels of less than 91’ beam","Percentage","18.46","Oceangoing Transits",2019-06-01
"262","Vessels 91’ beam to under 107’ beam","Percentage","59.92","Oceangoing Transits",2019-06-01
"263","Neopanamax Vessels (107’ beam and over)","Percentage","24.62","Oceangoing Transits",2019-06-01
"264","Total:","Percentage","100","Oceangoing Transits",2019-06-01
"265","Vessels of less than 91’ beam","Total","192","Oceangoing Transits",2018-07-01
"266","Vessels 91’ beam to under 107’ beam","Total","573","Oceangoing Transits",2018-07-01
"267","Neopanamax Vessels (107’ beam and over)","Total","233","Oceangoing Transits",2018-07-01
"268","Total:","Total","998","Oceangoing Transits",2018-07-01
"269","Vessels of less than 91’ beam","Daily Average","6.19","Oceangoing Transits",2018-07-01
